,haupt_text,category,prediction
352,"Was die Eremitage für Sankt Petersburg, ist das Puschkin-Museum für Moskau. Es ist eine überwältigend große Sammlung europäischer Kunst, gestiftet 1912 von Moskaus selbstbewusster Bürgerschaft. Irina Antonowa, die in dieser Woche gestorben ist, hat dieses Museum mehr als ein halbes Jahrhundert geleitet. Sie ist, man kann das ohne Übertreibung sagen, für lange Zeit die einflussreichste, prägendste Figur der russischen Museumszene gewesen.",Kultur,Kultur
6205,Nordrhein-Westfalens Ministerpräsident Armin Laschet wird neuer Vorsitzender der CDU. Der 59-Jährige setzte sich am Samstag auf dem digitalen Parteitag der CDU gegen Friedrich Merz und Norbert Röttgen durch. Laschet löst die scheidende CDU-Chefin Annegret Kramp-Karrenbauer ab und muss die Partei nun in das Superwahljahr 2021 führen.,Nachrichten,Nachrichten
849,"Für Moritz, Dan und Lenny könnte es eigentlich nicht besser laufen: Die erste Million ist verdient, die Polizei ermittelt ergebnislos. Und dann klappt es auch endlich mit der Liebe. Das alles war nach der ersten Staffel ""How to Sell Drugs Online (Fast)"" (HtSDOF) nicht unbedingt zu erwarten. Für alle, die sich an die bisherigen Ereignisse der deutschen Netflix-Produktion nicht mehr erinnern können, noch mal der grobe Plot:",Kultur,Kultur
192,"Paradoxe Welt der kleinen Fehlentscheidungen. Hinter einem sorglosen Klick verbergen sich Texte, die von Überwachung und anderen Ekligkeiten handeln, aber eben auch unsichtbare Tracker, die unsere IP-Adresse einsacken und den Standort, und all das nur, um uns in Zukunft noch besser mit irgendwas beliefern zu können.",Kultur,Kultur
6785,"1. Das Volk sieht nichts – oder doch?In der Maskenaffäre der Union richtet sich das Rampenlicht wieder von der CDU auf die CSU: »Der bayerische Politiker Alfred Sauter könnte der Kultserie ›Kir Royal‹ um den fiktiven Münchner Klatschreporter Baby Schimmerlos entsprungen sein: seit über 30 Jahren für die CSU im Landtag, intrigengestählt, affärenerprobt«, sagt mein Kollege Sven Röbel. Als Sauter 1999 wegen eines Immobilienskandals seinen Posten als Justizminister aufgeben musste, bezeichnete der CSU-Politiker seine Absetzung als »Schafscheiß«.",Nachrichten,Nachrichten
1700,"Dwayne Johnson ist einer der erfolgreichsten, populärsten und bestbezahlten Prominenten Hollywoods, entsprechend viel ist über sein Leben als Wrestler, Football-Spieler und Schauspieler schon bekannt. Doch in einer neuen TV-Comedyserie namens »Young Rock« will Johnson noch andere Aspekte seines Lebens zeigen.",Kultur,Kultur
6415,"Innenminister Horst Seehofer hat für länderübergreifend einheitliche Coronaregeln per Bundesgesetz geworben. »Es gibt die große Sehnsucht in der Bevölkerung nach einheitlichen Regeln. Mein Vorschlag ist deshalb, die einheitlichen Regeln durch ein Bundesgesetz festzulegen«, sagte der CSU-Politiker der »Welt am Sonntag«. »Dieses Gesetz sollte genau vorschreiben, welche Schritte bei den jeweiligen Inzidenzwerten unternommen werden müssten – von der Verschärfung bis zur Lockerung.«",Nachrichten,Nachrichten
5843,"So gelöst, ja beinahe zufrieden, hat man sie lange nicht mehr erlebt: Wenn sich Kanzlerin Angela Merkel in den vergangenen Monaten mit den Länder-Regierungschefinnen und -chefs zusammenschaltete und anschließend mit dem amtierenden Chef der Ministerpräsidentenkonferenz, Berlins Michael Müller (SPD), und seinem Stellvertreter, dem Bayern Markus Söder (CSU), zur Pressekonferenz erschien, ging es in der Regel um Schadensbegrenzung.",Nachrichten,Nachrichten
6493,"»Querdenken«-Initiator Michael Ballweg hat dazu aufgerufen, sich an das Verbot der »Querdenken«-Demo in Berlin zum Jahreswechsel zu halten. Er bat in einer an Heiligabend im Netz veröffentlichten Videobotschaft darum, »das Verbot der Demonstrationen in Berlin zu akzeptieren und am 30.12., am 31.12. und am 1.1. nicht nach Berlin zu fahren«.",Nachrichten,Nachrichten
6369,"Bund und Länder haben sich nach langen Diskussionen auf Inzidenzwerte geeinigt, die ausschlaggebend für Öffnungsschritte oder erneute Verschärfungen der Corona-Maßnahmen sein sollen. Das erfuhr der SPIEGEL aus Verhandlungskreisen bei der Videokonferenz von Kanzlerin Angela Merkel mit den Länderchefs.",Nachrichten,Nachrichten
624,"Der Mann ist ein Raubtier. Die Frau seine Beute. An dieser Analogie aus der Bilderwelt eines infantilen Steinzeit-Machismo halten noch immer viele Männer fest. Und vielleicht tun es gerade die am dollsten, die in der – um in ihrem beschränkten Bilderreservoir zu bleiben – freien Wildbahn besonders erfolglos sind. Der nervöse Mario (Joseph Bundschuh), der am Anfang dieses »Tatorts« in einer Diskothek nach Frauenkontakten sucht, hört sich zur Vorbereitung jedenfalls das Online-Tutorial eines Pick-up-Artists an, dessen Geschlechterbild mit »prähistorisch« noch freundlich beschrieben ist.",Kultur,Kultur
1185,"Sasha Bühler ist Amerikanerin mit deutschen Vorfahren. Sie hat 30 Jahre lang in Deutschland gelebt, für ihren neuen Job bei Netflix zog sie 2019 nach London. Eine internationale Karriere, die zu ihrer Aufgabe dort passt: Bühler ist Director of International Film, sie entwickelt für den Streamingkonzern Projekte in den deutschsprachigen Ländern sowie in Frankreich, Osteuropa und Skandinavien.",Kultur,Kultur
4527,"Formel-1-Weltmeister Lewis Hamilton hat beim Großen Preis von Spanien seinen dritten Sieg im vierten Saisonrennen eingefahren. Der Mercedes-Pilot lieferte sich ein spannendes Duell mit Max Verstappen im Red Bull, der Zweiter wurde. Mit Valtteri Bottas kam der zweite Silberpfeil-Pilot als Dritter ebenfalls aufs Treppchen. Hier sind die Pressestimmen:",Sport,Sport
4447,"Italiens Meistertrainer Antonio Conte verlässt Inter Mailand. Das teilte der Klub mit. Mit dem 51-Jährigen sei eine Vereinbarung über das Ende seines Vertrages in beiderseitigem Einverständnis getroffen worden, hieß es in der Mitteilung. Das von Finanzsorgen geplagte Inter muss Geld sparen. Conte wollte das Medienberichten zufolge nicht mitmachen.",Sport,Sport
342,"Seit acht Jahren leitet Christine Strobl die ARD-Tochter Degeto, die für den Einkauf und die Eigenproduktion von fiktionalen Programmen für den Senderverbund zuständig ist. In dieser Funktion war sie unter anderem für die Kooperation der ARD mit dem Pay-TV-Sender Sky mitverantwortlich, durch die das Serienprojekt ""Babylon Berlin"" entstehen konnte.",Kultur,Kultur
4816,"Borussia Mönchengladbachs Stürmer Marcus Thuram hat nach seiner Spuckattacke gegen Hoffenheims Stefan Posch um Entschuldigung gebeten. »Heute hat etwas stattgefunden, das nicht in meinem Charakter liegt und nie wieder vorkommen darf«, schrieb der Franzose bei Twitter. »Ich habe mich gegenüber einem Gegner falsch verhalten.«",Sport,Sport
3725,"Die Handballer auf der schwedischen Ersatzbank hatten aus Protest ihre Arme gehoben. Sie lagen mit zwei Toren zurück, die letzten zwei Minuten im WM-Finale von Kairo liefen, und Dänemark war bereits seit 30 Sekunden im Angriff. Trotz des drohenden Zeitspiels und Ballverlusts blieben die Dänen ruhig, sie spielten mit der Gewissheit, diesen Angriff erfolgreich zu Ende zu bringen.",Sport,Sport
5830,"Als Mallorca von der Liste der Coronarisikogebiete gestrichen wurde, ging die Zahl der Urlaubsbuchungen in die Höhe. Und die Diskussion um ein mögliches Verbot von Urlaub im Ausland begann. Diese ist nun aber offenbar vorerst beendet: Urlaubsreisen ins Ausland werden trotz der Coronapandemie auch weiterhin grundsätzlich möglich sein.",Nachrichten,Nachrichten
7127,"Die Grünen haben eine verpflichtende Offenlegung der Lohnlücke zwischen Männern und Frauen für Unternehmen gefordert. Fraktionschefin Katrin Göring-Eckardt sagte dem Portal T-online anlässlich des Equal Pay Day am Mittwoch, Firmen sollten »verpflichtend über die Bezahlung von Frauen und Männern und ihre Maßnahmen zum Schließen des eigenen Pay Gaps berichten«. Mit einer solchen Offenlegung könnten die geschlechtergerechte Bezahlung flächendeckend überprüft sowie Lücken geschlossen werden.",Nachrichten,Nachrichten
