,0
0,https://www.spiegel.de/politik/deutschland/armin-laschet-und-die-kanzler-frage-der-pannenonkel-und-die-macht-des-glaubens-a-cd3ae478-0002-0001-0000-000177062056
1,https://www.spiegel.de/politik/deutschland/jens-spahn-kuendigt-digitalen-impfpass-zum-sommer-an-a-5774a803-bc84-48ff-a4ea-01756e82311d
2,https://www.spiegel.de/politik/deutschland/corona-krise-serpil-midyatli-spd-fordert-neuen-kinderbonus-a-64547229-3f5d-4a77-ba4e-d5aa5375361b
3,https://www.spiegel.de/politik/deutschland/wahl-o-mat-2021-wen-sie-in-rheinland-pfalz-waehlen-wollen-a-db4f86b6-c9c2-4c73-ae8c-41af7453e7a2
4,https://www.spiegel.de/politik/deutschland/pflegekraefte-2020-in-der-corona-krise-erst-gefeiert-dann-doch-im-stich-gelassen-a-0a6992e5-7c0a-49cc-b2fa-fa987fe79ef4
5,https://www.spiegel.de/politik/deutschland/blackfacing-beim-bayerischen-rundfunk-rassismus-aus-bequemlichkeit-kommentar-a-02527570-c938-4f3b-b7e8-2fe632a5f7cf
6,https://www.spiegel.de/politik/deutschland/fluechtlinge-union-und-spd-lehnen-hilfe-fuer-italien-bei-bootsmigranten-ab-a-613c0c29-8b5b-4749-98d9-e0941888e8ee
7,https://www.spiegel.de/politik/deutschland/cdu-armin-laschet-wirft-gruenen-kleinkariertes-gucken-auf-verbote-vor-a-6cf7253a-fc77-4178-9be4-8ec791f482c9
8,https://www.spiegel.de/politik/deutschland/ostdeutschland-marco-wanderwitz-in-der-kritik-nach-aussagen-ueber-ostdeutsche-a-4beb9be0-3953-4d8a-b0bf-78745f19aff0
9,https://www.spiegel.de/politik/deutschland/heiko-maas-verurteilt-russlands-drohungen-gegen-deutsche-journalisten-a-9c356849-c209-4677-a42e-8d64dc981c02
10,https://www.spiegel.de/politik/deutschland/corona-saarland-haelt-an-oeffnungsmodell-fest-a-207575a4-5c22-4ba5-a79c-d433c2e394be
11,https://www.spiegel.de/politik/deutschland/landtagswahl-sachsen-anhalt-2021-ergebnis-der-waehlerwanderung-im-detail-a-ede793dc-d806-4081-becc-0b3a8c77b367
12,https://www.spiegel.de/politik/deutschland/angela-merkel-zu-den-corona-massnahmen-livestream-a-07f1b57d-128f-4e80-b981-01a72804f94f
13,https://www.spiegel.de/politik/deutschland/corona-virus-fehlende-impftermine-fehlende-vakzine-enttaeuschte-alte-a-1152596f-cb2a-4686-8b5d-7129238e0457
14,https://www.spiegel.de/politik/deutschland/coronakrise-in-sachsen-ministerpraesident-michael-kretschmer-raeumt-fehler-ein-a-b7826cbd-c8f2-4605-b169-53991274489c
15,https://www.spiegel.de/politik/deutschland/news-des-tages-tuebingen-tschechien-olaf-scholz-a-0c10b3e6-eb81-40b0-a731-dcbc047d3c6e
16,https://www.spiegel.de/politik/deutschland/matthias-hoehn-der-linke-der-sich-mit-den-hardlinern-anlegt-a-00000000-0002-0001-0000-000175304167
17,https://www.spiegel.de/politik/deutschland/armin-laschet-vor-der-wahl-in-sachsen-anhalt-die-grosse-huerde-a-c6781e23-ef1b-4b32-8f52-95c7bcaff7c3
18,https://www.spiegel.de/politik/deutschland/armin-laschet-wie-der-cdu-chef-in-die-offensive-kommen-will-a-11fca4fb-e2fe-43b7-ac82-682b9e4d78e5
19,https://www.spiegel.de/politik/deutschland/corona-impfungen-von-der-leyen-erwartet-ab-april-100-millionen-dosen-pro-monat-a-021c7ab2-edb1-404a-90c4-98f0d9b5e32c
20,https://www.spiegel.de/politik/deutschland/impfstoff-exportverbote-von-der-leyens-kampfansage-a-82366493-cb98-4f6e-b969-e296639729e4
