Line_ID,day,month,year,category,article,kurz_text,haupt_text
0,5,5,2021,Politik,Spahn kündigt digitalen Impfpass zum Sommer an,"
Die EU arbeitet an einem digitalen Impfzertifikat, das Geimpften und Genesenen den Urlaub retten soll. Der Bundesgesundheitsminister rechnet mit einer zeitnahen Fertigstellung.
","
Nachdem die Bundesregierung Lockerungen für Geimpfte und Genesene beschlossen hat, hoffen viele, dass ihnen ein digitaler Impfpass den Sommerurlaub im Ausland rettet. Bundesgesundheitsminister Jens Spahn hat nun angekündigt, es werde ihn »in der zweiten Hälfte des zweiten Quartals« geben. Das sagte Spahn im ZDF.
"
1,25,1,2021,Politik,»Durchhalteparolen helfen Familien nicht«,"
Schulen dicht, Kitas im Notbetrieb – Familien würden in der Pandemie viel leisten, betont SPD-Bundesvize Serpil Midyatli. Sie dringt auf einen zusätzlichen Kinderbonus und ein Aufholprogramm für Schüler.
","
SPIEGEL: Frau Midyatli, Sie haben zwei Schulkinder. Können Sie sich als Hilfslehrerin durchsetzen?Serpil Midyatli: Meine Söhne sind elf und 17 Jahre alt, sie schaffen viel alleine. Aber ihre Toleranzgrenze nimmt von Tag zu Tag ab, weil ja auch alle Freizeitaktivitäten fehlen, und das schon seit Monaten. Aber grundsätzlich sind wir in einer komfortableren Situation als viele andere. Wir haben vor anderthalb Jahren die Entscheidung getroffen, dass mein Mann zu Hause ist. Es hat für uns damals schon nicht funktioniert, Kinder, Beruf, Partei und Ehrenamt unter einen Hut zu bekommen.
"
2,10,2,2021,Politik,Wen Sie in Rheinland-Pfalz wählen wollen,"
Wer regiert künftig in Mainz? In Rheinland-Pfalz sind etwa 3,1 Millionen Bürger zur Landtagswahl am 14. März aufgerufen. Der Wahl-O-Mat sagt Ihnen, welche Partei am ehesten Ihre Ansichten vertritt.
","
In Rheinland-Pfalz gibt es sie noch, die sozialdemokratische Beständigkeit. Seit 30 Jahren regiert die SPD in Mainz. Erst wurde Rudolf Scharping Ministerpräsident, dann Kurt Beck. 2013 übernahm schließlich Malu Dreyer das Amt. Die große Frage ist nun: Hält die rote Serie?
"
3,3,4,2021,Politik,Dieser »Witz« ist Rassismus aus Bequemlichkeit,"
Der Satiriker Helmut Schleich malt sein Gesicht für einen TV-Sketch schwarz an. Der Bayerische Rundfunk will vorab »intensiv« mit ihm diskutiert haben, brachte den Beitrag aber trotzdem. Das zeigt, warum der Kampf gegen Rassismus hierzulande nicht vorankommt.
","
Satire darf ziemlich viel. Vor allem darf sie wehtun, sollte sie sogar. Wenn Kabarettistinnen und Kabarettisten auf die Bühne steigen, dürfen Politikerinnen, Wirtschaftsbosse und Funktionäre ruhig ins Schwitzen geraten. Wer in der Öffentlichkeit steht, muss damit rechnen, durch den Kakao gezogen zu werden.
"
4,4,6,2021,Politik,Union und SPD lehnen Hilfe für Italien bei Bootsmigranten ab,"
Zuletzt erreichten wieder deutlich mehr Bootsmigranten Italien. EU-Kommissarin Johansson forderte andere Staaten zur Hilfe auf. Bei den Parteien in Deutschland sind die Reaktionen auf den Vorstoß gemischt.
","
Politiker der Union und SPD haben einem Aufruf zur Umsiedelung in Italien ankommender Migranten eine Absage erteilt. Grüne und FDP befürworten dagegen einen zumindest vorübergehenden Verteilmechanismus. Das sagten Sprecher der Bundestagsfraktionen der »Welt«.
"
5,5,6,2021,Politik,Laschet wirft Grünen »kleinkariertes Gucken auf Verbote« vor,"
Armin Laschet hat einen Auftritt in Düsseldorf für einen Angriff auf die Grünen genutzt. Bei der Landesvertreterversammlung der NRW-CDU betonte er, hart um das Kanzleramt kämpfen zu wollen.
","
Der Kanzlerkandidat der Union, Armin Laschet, hält nichts von den jüngsten Ideen der Grünen im Kampf gegen den Klimawandel. Er warf ihnen ein »kleinkariertes Gucken auf Verbote« vor. Die CDU kämpfe für das »große Projekt des klimaneutralen Deutschlands«, sagte der CDU-Bundesvorsitzende und NRW-Ministerpräsident am Samstag bei einer Landesvertreterversammlung der CDU NRW in Düsseldorf.
"
6,31,5,2021,Politik,CDU-Politiker kritisieren Parteikollegen Wanderwitz für Äußerungen über Ostdeutsche,"
Marco Wanderwitz ist CDU-Mitglied und Ostbeauftragter der Regierung. Als solcher äußert er sich oft kritisch über die AfD-Nähe vieler Ostdeutscher – doch nach der jüngsten Einlassung ging es einigen Parteifreunden zu weit.
","
Der Ostbeauftragte der Bundesregierung, Marco Wanderwitz (CDU), hat »diktatursozialisierten« Menschen in Ostdeutschland eine stärkere Neigung zur Wahl rechtsradikaler Parteien attestiert als im Westen. Für diese Einschätzung erntet er nun Kritik aus der eigenen Partei.
"
7,17,3,2021,Politik,Maas verurteilt Moskaus Drohungen gegen deutsche Journalisten,"
Das Auswärtige Amt reagiert auf die Drohungen Moskaus gegen deutsche Korrespondenten. Die Pressefreiheit sei nicht verhandelbar, warnt Außenminister Maas die russische Regierung.
","
Der Ton im Streit über die Behandlung deutscher Medienvertreter in Russland wird schärfer. »Die Pressefreiheit ist keine Verhandlungsmasse«, hieß es von Außenminister Heiko Maas (SPD) auf eine Anfrage des SPIEGEL. »Das haben wir der russischen Seite heute auch unmissverständlich mitgeteilt.« Maas' Staatssekretär Miguel Berger habe dem russischen Botschafter in einem Telefonat die Position der Bundesregierung verdeutlicht, heißt es aus dem Auswärtigen Amt.
"
8,23,4,2021,Politik,Saarland hält an Öffnungsmodell fest,"
Vielerorts im Saarland greift die Corona-Notbremse. Das bedeutet eine Zwangspause für die Öffnungen im »Saarland-Modell«. Die Landesregierung sieht aber keinen Anlass für einen Kurswechsel.
","
Das Gesetz für die bundesweit einheitliche Corona-Notbremse ist beschlossen – und greift nun auch im Saarland. In drei Landkreisen und im Regionalverband Saarbrücken liegt die Zahl der Neuinfektionen pro 100.000 Einwohner binnen einer Woche an drei Tagen hintereinander über 100. Neben dem Regionalverband sind die Kreise St. Wendel, Saarlouis und Neunkirchen betroffen.
"
9,7,6,2021,Politik,Wo die vielen CDU-Stimmen herkommen,"
Fast siebeneinhalb Prozentpunkte mehr als 2016: Die CDU in Sachsen-Anhalt profitiert von der Unterstützung einstiger Nichtwähler. Wem jagten die Christdemokraten sonst noch Stimmen ab? Die Wählerströme im Detail.
","
»Is' ja noch mal jut gegangen«, sagte Reiner Haseloff, als der CDU-Sieg bei der Landtagswahl in Sachsen-Anhalt feststand. Für den Ministerpräsidenten war es auch ein persönlicher Triumph: Seine CDU kommt auf 37,1 Prozent der Stimmen, 7,4 Prozentpunkte mehr als 2016. Dieser Zugewinn speist sich aus den Verlusten von SPD, Linke und AfD. Aber auch viele frühere Nichtwähler haben sich für die Christdemokraten entschieden.Das geht aus der Analyse zur Wählerwanderung von Infratest dimap für die ARD hervor. Das Wahlforschungsinstitut berechnet sie auf Grundlage eigener Befragungen, des vorläufigen Endergebnisses sowie weiterer amtlicher Statistiken. Die Werte sind eine grobe Schätzung dafür, wie viele Wählerinnen und Wähler eine Partei im Vergleich zur vorherigen Wahl halten konnte, wie viele zu anderen Parteien abgewandert und wie viele zugewandert sind.
"
10,10,1,2021,Politik,Regierungschef Kretschmer räumt Fehler ein,"
Während der Pandemie habe sein Land zu zögerlich agiert, sagte Sachsens Ministerpräsident Michael Kretschmer in einem Interview. Erst Besuche in Krankenhäusern hätten ihm die Dramatik der Lage bewusst gemacht.
","
Was alles schiefläuft und schiefgelaufen ist in Sachsen – darüber wurde schon viel geschrieben. Das Bundesland wurde im Herbst besonders hart von der zweiten Corona-Welle getroffen. Seit Wochen sind die Infektionszahlen sehr hoch, es gibt pro Einwohner deutlich mehr Covid-19-Tote als in anderen Bundesländern.
"
11,22,4,2021,Politik,Weniger Auslauf im Modell Tübingen,"
Guten Abend, die drei Fragezeichen heute:Tübingen wird normal – Gute oder schlechte Nachricht?Tschechien droht Russland – Guter oder schlechter Witz?Scholz hat nix zu tun mit Wirecard – Schlechter oder ganz schlechter Witz?
","
1. Tübingen macht dichtMir ist Tübingen in den letzten Wochen geradezu ans Herz gewachsen. Es nahm eine Rolle im Corona-Belagerungszustand ein wie das berühmte gallische Dorf, in dem Asterix und seine Freunde den übermächtigen Römern trotzen. Die böse Kolonialmacht in diesem Spiel ist in meinen Augen allerdings nicht das Robert Koch-Institut oder die Ministerpräsidentenkonferenz, sondern das Virus selbst, das uns alle im Griff hat. (Bis auf die Anti-Corona-Maßnahmen-Hooligans natürlich, die mithilfe eines legendären Zaubertranks unverwundbar sind. Sein Name, gut lateinisch: Ignorantia.)
"
12,29,5,2021,Politik,"


","
In Sachsen-Anhalt geht es um die Zukunft von CDU-Ministerpräsident Haseloff – und um die Chancen von Unionskanzlerkandidat Laschet. Er steigt jetzt selbst in den Wahlkampfendspurt ein. Aber ist er überhaupt willkommen?
","
Gerade ist er vor dem Bauhausmuseum in Dessau aus seiner Limousine geklettert, hat sich die obligatorische FFP2-Maske hinter die Ohren und über die Nase gehängt, da steht plötzlich diese ältere Dame im Weg. Die Frau in ihrer dunkelblauen Wolljacke wartet am Freitag schon über eine Stunde auf Armin Laschet. Sie stützt sich auf einen Rollator, eigentlich, sagt sie, müsste sie längst bei der Massage sein, aber sie wollte unbedingt eine Unterschrift des Unionskanzlerkandidaten.
"
13,7,3,2021,Politik,Von der Leyen erwartet ab April 100 Millionen Dosen pro Monat,"
Bisher impft die EU deutlich langsamer als viele andere Länder, weil nicht genug Impfstoff da ist. Ab April soll es nun deutlich besser werden, verspricht Kommissionspräsidentin Ursula von der Leyen.
","
Ab April werde die EU deutlich mehr Impfstoffdosen bekommen als bisher. Das stellt Kommissionspräsidentin Ursula von der Leyen in einem Interview mit der Tageszeitung »Der Standard« in Aussicht.Im Januar und Februar seien von den Herstellern 20 beziehungsweise 30 Millionen Impfdosen geliefert worden, sagte von der Leyen, im März sei von 50 Millionen Dosen auszugehen: »Ab April könnten sich die Mengen nach den Plänen der Hersteller noch mal verdoppeln. Das wären im zweiten Quartal im Schnitt rund 100 Millionen Dosen pro Monat, insgesamt 300 Millionen bis Ende Juni.«
"
14,17,3,2021,Politik,Von der Leyens Kampfansage,"
Die EU-Kommission will den Mangel an Coronaimpfstoffen aggressiver bekämpfen – und droht anderen Ländern unverhohlen mit Exportverboten. Gemeint ist damit vor allem Großbritannien.
","
Eine gute Bilanz sieht anders aus. Rund 69,5 Millionen Dosen Corona-Impfstoffe haben die EU-Staaten bisher bekommen. Doch allein seit Ende Januar haben mindestens 41,6 Millionen Dosen die EU verlassen, exportiert in mehr als 33 Länder. Hinzu kommen nicht systematisch erfasste Ausfuhren in die direkte Nachbarschaft der EU, ärmere Länder oder Israel. In manchen Wochen, so ist aus der EU-Kommission zu hören, wurden mehr Dosen aus der EU exportiert als an die eigenen Mitglieder ausgeliefert.
"
15,21,3,2021,Politik,FDP wählt Lindner zum Spitzenkandidaten für den Bundestag,"
Ein halbes Jahr vor der Bundestagswahl steht fest, wer die Landesliste der nordrhein-westfälischen FDP anführen soll: Mit großer Mehrheit stimmten die Delegierten für Fraktionschef Christian Lindner.
","
Für den Wiedereinzug in den Bundestag hat der FDP-Bundesvorsitzende Christian Lindner Rückenwind von seiner Partei bekommen. Die NRW-Landespartei wählte den 42-Jährigen in Dortmund auf Platz 1 der Landesliste für die Bundestagswahl im Herbst. Er bekam 96,9 Prozent der Delegiertenstimmen. Einen Gegenkandidaten hatte der gebürtige Wuppertaler nicht. Die parteiinterne Zustimmung lag noch höher als 2017, als es 91,2 Prozent gewesen waren.
"
16,23,3,2021,Politik,Stille Ostern allerseits,"
Liebe Leserin, lieber Leser, guten Morgen,heute geht es um das Ende des Stotter-Shutdowns, um die Frage, ab wann das Reisen zur Strafe wird und den neuen Mut der EU gegenüber China.
","
Team Vorsicht triumphiert»Schluss mit dem Stotter-Shutdown« hat mein Kollege Olaf Stampf vor wenigen Tagen im Leitartikel des SPIEGEL gefordert, die Runde um Kanzlerin Angela Merkel war jetzt so frei. Sie verordnete einen radikalen Shutdown in der ersten Aprilwoche, die Osterfeiertage werden zu »Ruhetagen« erklärt, zwei Tage zur Ruhefrist hinzugefügt, es gelten die an Feiertagen üblichen Regeln, fast alles wird also geschlossen bleiben, bis auf Karsamstag eingeschränkt Lebensmittelmärkte.
"
17,6,1,2021,Politik,Lieber Finanzminister als Darth Vader,"
Stuttgarter Dreikönigstreffen ohne Parteivolk: FDP-Chef Christian Lindner schont die politischen Gegner – hat aber große Pläne.
","
Als Christian Lindner die Bühne des Stuttgarter Opernhauses betritt, da hat er seine Maske noch vor Mund und Nase, das Mikrofon aber schon an. In diesem Moment hören die Zuschauer des Livestreams sein schweres Ein- und Ausatmen, es erinnert an den Auftritt des Bösewichts bei »Star Wars« – Darth Vader.
"
18,14,2,2021,Politik,Berlins Bürgermeister Müller verspricht Stufenplan für Lockerungen,"
Bis zur nächsten Corona-Schalte von Bund und Ländern wird ein Öffnungsplan vorliegen – da ist sich Michael Müller sicher. Auch den Osterurlaub will der Landeschef noch nicht pauschal abschreiben.
","
Berlins Regierender Bürgermeister Michael Müller hat bis zur nächsten Ministerpräsidentenkonferenz Anfang März die Vorlage eines Stufenplans für Öffnungsschritte in der Corona-Pandemie versprochen. »Es muss ausgehen von dem, was wir jetzt als Basis haben, auch von den Erfolgen, die wir in den letzten sieben Wochen erreicht haben, muss es ein weiteres stufenweises Vorgehen geben, an dem man sich auch langfristig orientieren kann«, sagte der SPD-Politiker am Abend in der ZDF-Sendung »Berlin direkt«.
"
19,12,1,2021,Politik,Bayern führt FFP2-Maskenpflicht im Nahverkehr und Supermarkt ein,"
Der bayerische Ministerpräsident Markus Söder hat in einer Pressekonferenz vor der Coronavirus-Mutation gewarnt. In Bayern muss man beim Einkaufen und im öffentlichen Nahverkehr künftig eine FFP2-Maske tragen.
","
In Bayern gilt vom kommenden Montag an eine Pflicht zum Tragen von FFP2-Masken im öffentlichen Nahverkehr und im Einzelhandel. Das hat das Kabinett am Dienstag in München beschlossen, wie Ministerpräsident Markus Söder (CSU) sagte.
"
20,16,3,2021,Politik,Peter Tauber zieht sich vorzeitig aus der Politik zurück,"
Eigentlich wollte Peter Tauber im Herbst seine politische Karriere beenden. Krankheitsbedingt soll dieser Schritt nun früher erfolgen. Zu Ostern will der CDU-Politiker sein Amt als Parlamentarischer Staatssekretär niederlegen.
","
Der frühere CDU-Generalsekretär und derzeitige Verteidigungsstaatssekretär Peter Tauber will seine politische Karriere früher als bisher geplant beenden. Er zieht sich krankheitsbedingt vorzeitig aus der Politik zurück.
"
