,haupt_text,category,prediction
8539,"Die Forscher waren am Anfang nicht ganz sicher, ob es wirklich die Knochen von dem König waren. Jetzt haben Tests aber bewiesen, dass es stimmt. Die Forscher sagen, dass es eine Sensation ist. Die Knochen sollen jetzt mit einer Feier in einer Kirche begraben werden. Die Forscher haben die Knochen unter einem Parkplatz in der Stadt Leicester in England entdeckt. Danach haben sie die Knochen genau untersucht. Zum Vergleich haben die Forscher auch einen heute lebenden Verwandten von dem König untersucht. Der Vergleich hat gezeigt, dass die beiden zur selben Familie gehören. Richard der Dritte war vor über 500 Jahren der König von England. Dann ist er beim Kämpfen in einer Schlacht gestorben. Lange hat niemand gewusst, wo seine Knochen waren. Immer wieder haben Menschen danach gesucht. Richard der Dritte ist berühmt, weil ein englischer Schriftsteller ein Theaterstück über ihn geschrieben hat. Der Schriftsteller heißt William Shakespeare.",Kultur,Kultur
10083,"Steinmeier hat in Hanau gesagt: Die Morde waren ein Anschlag auf die Freiheit und unser Zusammenleben. Er hat auch gesagt: Es gibt keine Bürger ""zweiter Klasse"". Alle haben die gleiche Würde und die gleichen Rechte. Auch Bundes-Kanzlerin Angela Merkel war bei der Gedenk-Feier. In Hanau hatte ein Mann vor 2 Wochen 9 Menschen erschossen. Die meisten Opfer kamen aus ausländischen Familien. Sie hatten kurdische Wurzeln oder kamen aus Ländern wie Bulgarien, Rumänien, Bosnien-Herzegowina und Afghanistan. Die Ermittler sagen: Der Mann war ein Rassist. Der Präsident von dem Bundestag heißt Wolfgang Schäuble. Schäuble hat im Bundestag gesagt: Es reicht nicht aus, betroffen zu sein. Der Staat hat die Gefahr von Rechts-Extremismus unterschätzt. Er muss jetzt entschieden dagegen vorgehen.",Nachrichten,Nachrichten
11732,"Der Ärzte-Tag findet einmal im Jahr statt. Das Treffen dauert 4 Tage. Dort stellen Ärzte politische Forderungen. Die Ärzte sagen, was ihrer Meinung nach verbessert werden muß. In diesem Jahr haben die Ärzte gesagt: Arme Menschen müssen mehr über Gesundheits-Vorsorge erfahren. Dazu brauchen die Ärzte Hilfe von anderen Fachleuten, zum Beispiel von Lehrern, Erziehern und Sozial-Arbeitern. Die Ärzte sagen: Es soll in den Kindergärten und Schulen mehr Vorsorge-Untersuchungen geben. Ein anderes Thema auf dem Ärzte-Tag war die Kranken-Versicherung. 3 Parteien möchten eine Bürger-Versicherung einführen. Das möchten die SPD, die Grünen und die Linke. Bei der Bürger-Versicherung soll jeder Bürger einen Beitrag einzahlen. Der Beitrag soll sich nach dem Einkommen richten. Die privaten Kranken-Kassen sollen dann abgeschafft werden. Das möchten die Ärzte aber nicht.",Nachrichten,Nachrichten
7677,"Geert Wilders ist ein Politiker, der gegen den Islam ist. Er hatte den Karikaturen-Wettbewerb angekündigt. Muslime auf der ganzen Welt hat das sehr geärgert. Sie sagen: Man darf keine Karikaturen über Mohammed machen. Für die Muslime ist Mohammed ein heiliger Gesandter von Gott. Wilders hat dann Mord-Drohungen bekommen. Deshalb hat er den Wettbewerb abgesagt. Er hat gesagt: Nicht nur ich bin bedroht. Auch andere Menschen könnten bei Anschlägen in unserem Land getötet werden. Das will ich nicht. Vor 13 Jahren hat einmal eine Zeitung Karikaturen über Mohammed abgedruckt. Das war in dem Land Dänemark. Damals kam es in vielen muslimischen Ländern zu Protesten gegen die Karikaturen. Dabei hat es sogar Tote gegeben. Auf einen der Zeichner gab es später einen Mord-Anschlag. Er ist dabei aber nicht verletzt worden.",Kultur,Kultur
8395,"Am Ende von jedem Jahr wählen Sprach-Experten das Unwort des Jahres. Sie wählen zum Beispiel Wörter aus, die Menschen beleidigen. Es können auch Wörter sein, die schlimme Ereignisse falsch darstellen oder falsch erklären. Die Experten wollen damit erreichen, dass die Menschen über die Wörter nachdenken. Das Wort ""Sozial-Tourismus"" ist oft von Politikern benutzt worden. Aber auch Journalisten haben das Wort benutzt. Mit dem Wort ""Sozial-Tourismus"" wollen sie Menschen beschreiben, die nach Deutschland kommen. Viele von diesen Menschen wollen in Deutschland leben und arbeiten. Manche Menschen kommen auch nach Deutschland, weil sie Geld vom Staat wollen. Wer also das Wort ""Sozial-Tourismus"" benutzt, der sagt: Menschen kommen nach Deutschland, nur weil sie Geld vom Staat wollen. Das Wort ""Sozial-Tourismus"" finden die Sprach-Experten schlimm. Sie meinen: Das Wort beleidigt alle Menschen, die nach Deutschland kommen. Diese Menschen sind oft sehr arm. Sie kommen nach Deutschland, damit es ihnen besser geht. Die meisten Menschen wollen aber in Deutschland auch arbeiten.",Kultur,Kultur
10541,"Der Präsident von Italien heißt Sergio Mattarella. Er hat entschieden: Giuseppe Conte kann neuer Minister-Präsident werden. Giuseppe Conte ist in keiner Partei. Er war vorher auch kein Politiker. Giuseppe Conte muss jetzt Minister für seine Regierung aussuchen. Das Parlament muss dann noch zustimmen. Die Parteien ""Fünf Sterne"" und Lega sagen: Für uns ist Italien wichtiger als Europa. Sie wollen viel Geld ausgeben. Aber Italien hat sehr viele Schulden. Deshalb sind die anderen Länder in Europa besorgt. Sie haben Angst, dass die Wirtschaft in Italien große Probleme bekommt. Und sie haben Angst, dass sich Italien nicht mehr an die Regeln von der EU hält. Vorher haben in Italien die Sozial-Demokraten regiert. Sie haben aber bei der Parlaments-Wahl verloren. Die Wahl war im März.",Nachrichten,Nachrichten
11145,"Das Klima hat sich in den letzten Jahren besonders schnell verändert. Auf der Erde wird es immer wärmer. Wissenschaftler sagen: Das liegt an den Schad-Stoffen aus Fabriken und Autos. Die Erd-Erwärmung hat schlimme Folgen für die Menschen und die Tiere auf der Welt. Deshalb wollen die Regierungen von den Staaten die Erd-Erwärmung stoppen. Sie haben lange darüber gestritten, wie das funktionieren soll. Und wer dafür bezahlen muss. Es hat schon früher Klima-Konferenzen gegeben. Dabei konnten sich die Regierungen aber nie einigen. Das war dieses Mal anders. Die Regierungen haben zwar viel gestritten. Aber sie haben sich trotzdem auf einen Vertrag geeinigt. In dem neuen Vertrag steht zum Beispiel: Auf der Erde soll es nicht zu warm werden. Die Temperatur soll nicht mehr steigen als 1,5 Grad. Damit ist die Durchschnitts-Temperatur gemeint. Durchschnitts-Temperatur heißt: Man rechnet die Temperaturen an jedem Tag in einem Jahr zusammen. Dann teilt man die Zahl durch die Anzahl der Tage im Jahr. So weiß man, wie warm es im Durchschnitt in dem Jahr war. In dem Vertrag steht auch, wie die Erd-Erwärmung gestoppt werden soll. Alle Staaten haben gesagt, dass sie viel weniger Schad-Stoffe ausstoßen wollen. Das soll immer wieder überprüft werden. Außerdem steht in dem Vertrag: Arme Länder bekommen Geld, damit sie den Klima-Schutz bezahlen können. Nach der Konferenz haben sich viele Leute gefreut. Viele Regierungs-Chefs haben gesagt: Es ist ein guter Vertrag. Auch Umwelt-Schützer sind froh. Sie haben gesagt: Es ist gut, dass sich die Regierungen endlich geeinigt haben. Jetzt muss der Vertrag aber auch eingehalten werden.",Nachrichten,Nachrichten
9663,"Homo-sexuell sind Menschen, die Menschen mit dem gleichen Geschlecht lieben. Man sagt auch schwul oder lesbisch. Schwul bedeutet, dass ein Mann Männer liebt. Thomas Hitzlsperger hat also gesagt: ""Ich bin schwul."" Thomas Hitzelsperger hat früher in der deutschen National-Mannschaft gespielt. Vor 4 Monaten hat er aufgehört, Fußball zu spielen. Er sagte: Jetzt ist ein guter Moment gekommen, zu verraten, dass ich schwul bin. Er möchte anderen Sportlern damit Mut machen, über Homo-Sexualität zu reden. Im Profi-Sport wird über Homo-Sexualität nur sehr selten geredet. Hitzlsperger sagte auch: ""Ich habe mich nie dafür geschämt, dass ich so bin"". Viele Menschen finden gut, was Thomas Hitzlsperger gesagt hat. Zum Beispiel Arne Friedrich. Arne Friedrich ist auch ein bekannter Fußball-Spieler. Er sagte: ""Ich bin stolz auf Thomas."" Der ehemalige Präsident vom Deutschen Fußball-Bund heißt Theo Zwanziger. Er sagte: ""Endlich hat ein Fußballer den Mut, seine Homo-Sexualität öffentlich zu machen.""",Sport,Sport
10667,"Mugabe ist 93 Jahre alt. Er hat Simbabwe 37 Jahre lang regiert. Jetzt hat er gewollt, dass seine Frau Grace die Macht in dem Land übernimmt. Die Armee war dagegen. Sie hat gesagt: Mugabe darf sein Haus nicht mehr verlassen. Seine Partei hat beschlossen: Mugabe ist nicht mehr unser Chef. Er darf auch nicht länger Präsident sein. Das haben viele Menschen in Simbabwe gut gefunden. Sie haben in der Haupt-Stadt gegen Mugabe demonstriert. Simbabwe hat jetzt einen neuen Präsidenten. Er heißt Emmerson Mnangagwa. Und der hat gesagt: Das Land braucht Frieden. Außerdem sollen mehr Menschen einen Job haben. Und die Menschen sollen wieder mehr mitbestimmen dürfen. Die deutsche Bundes-Regierung hat gesagt: Das ist die Chance für einen Neu-Anfang in dem Land.",Nachrichten,Nachrichten
11440,"Wladimir Putin und Petro Poroschenko haben sich zum 1. Mal seit Juni getroffen. Beide haben nach dem Treffen gesagt: Wir wollen, dass es im Osten von der Ukraine eine Waffen-Ruhe gibt. Der ukrainische Präsident Poroschenko sagte, dass Putin seinen Friedens-Plan unterstützt. Putin sagte aber: Der Friedens-Plan muss mit den pro-russischen Kämpfern abgestimmt werden. Und nicht mit Russland. Im Osten von dem Land Ukraine wird seit Monaten gekämpft. Soldaten von der Ukraine kämpfen gegen pro-russische Kämpfer. Die Kämpfer nennt man pro-russisch, weil sie wollen, dass die Ost-Ukraine zu Russland gehört. Viele Politiker aus anderen Ländern sagen: Russland unterstützt die pro-russischen Kämpfer in der Ukraine. Deshalb sagten Experten über das Treffen von Putin und Poroschenko: Bei dem Treffen gab es keine richtigen Ergebnisse. Die Experten sagen aber auch: es ist gut, dass die beiden Politiker miteinander gesprochen haben. Mehr über die Krise in der Ukraine können Sie in diesen Berichten lesen: Härtere Strafen gegen Russland Russland verbietet Gemüse aus der EU Flugzeug-Absturz wird untersucht",Nachrichten,Nachrichten
