,0
0,https://www.spiegel.de/sport/fussball/fussball-bundesliga-borussia-moenchengladbach-siegt-spektakulaer-gegen-borussia-dortmund-a-9925d6ae-a49e-4c0c-9b82-466101567ab1
1,https://www.spiegel.de/sport/start-der-fussball-em-ist-vom-sommermaerchen-gefuehl-noch-was-uebrig-podcast-a-ea3e513d-1c49-4fdc-a085-01a7e5421c86
2,https://www.spiegel.de/sport/fussball/champions-league-atalanta-haelt-remis-gegen-real-madrid-in-unterzahl-nur-bis-zur-86-minute-a-1554fc44-1cca-4c2c-9a03-e77ad9df6d7e
3,https://www.spiegel.de/sport/fussball/emre-can-von-borussia-dortmund-loest-er-loews-abwehrproblem-a-ac490ea7-fb36-4151-bc20-20c5be1c43f4
4,https://www.spiegel.de/sport/fussball/borussia-dortmund-unterliegt-union-berlin-als-ob-die-teenies-in-der-abwehr-stuenden-a-dedc3f44-5fdd-4139-a7f2-b75c7c17ec0f
5,https://www.spiegel.de/sport/fussball/bundesliga-werder-bremen-steigt-ab-1-fc-koeln-rettet-sich-in-die-relegation-a-8fd9bfbe-d547-43a7-bab7-14476053ab2e
6,https://www.spiegel.de/sport/olympia/doping-wada-erprobt-neue-tests-bei-olympischen-spielen-in-tokio-2021-a-81fef4c3-f6bc-4d63-9a91-d92a256a3b8c
7,https://www.spiegel.de/sport/handball/handball-trainer-martin-schwalb-und-michael-roth-was-wenn-dort-eine-corona-bombe-einschlaegt-a-00000000-0002-0001-0000-000174784661
8,https://www.spiegel.de/sport/fussball/fc-bayern-muenchen-hermann-gerland-beendet-trainerkarriere-a-05c3a62f-4d3c-4db4-b877-6b121b5c813e
9,https://www.spiegel.de/sport/super-bowl-tom-brady-die-macht-des-alten-koenigs-a-fef99ed9-50d2-4316-8e7b-37abf212d601
10,https://www.spiegel.de/sport/prozess-gegen-dopingarzt-mark-schmidt-das-experiment-mit-dem-wundermittel-a-7df5c53a-ceaf-4951-8287-6957be3c78d9
11,https://www.spiegel.de/sport/fussball/hertha-bsc-unterliegt-werder-bremen-krise-ist-wenn-nicht-mal-der-elfmeter-reingeht-a-447be52d-34a5-44d8-b073-f0e5d509745b
12,https://www.spiegel.de/sport/fussball/fussball-bundesliga-borussia-moenchengladbach-verliert-auch-beim-fc-augsburg-a-97e7dc2e-f5fe-4cb6-af11-9b352d3a3bf0
13,https://www.spiegel.de/sport/fussball/bundesliga-fan-experten-es-gibt-so-gut-wie-gar-nichts-das-hoffnung-auf-einen-sieg-gegen-bayer-macht-a-3e5997aa-80ef-4751-b9c5-65eaf73631f9
14,https://www.spiegel.de/sport/foto-von-gordon-elliott-auf-totem-pferd-ein-dokument-der-verachtung-gegenueber-dem-tier-a-e4417b9c-d093-4f45-aa17-00e0e699ee90
15,https://www.spiegel.de/sport/wintersport/skispringen-von-carina-vogt-bis-jens-weissflog-die-besten-der-wm-geschichte-a-f31da387-9749-4931-b4e9-db24e0d7810d
16,https://www.spiegel.de/sport/fussball/uefa-aleksander-ceferin-droht-spielern-von-super-league-teams-mit-nationalteam-bann-a-a7878a21-15b0-4361-9e18-97fa56d0c8db
17,https://www.spiegel.de/sport/basketball/nba-james-harden-wechselt-offenbar-von-den-houston-rockets-zu-den-brooklyn-nets-a-057c526f-7994-4ce2-b9b6-987cf372a205
18,https://www.spiegel.de/sport/galopptrainer-bob-baffert-die-wilden-geschichten-des-pferdeapothekers-a-fe519d15-2ade-4f60-8a72-d3d2e557869c
19,https://www.spiegel.de/sport/fussball/hertha-bsc-corona-positiver-test-bei-pal-dardai-und-lukebakio-spiel-gegen-mainz-findet-statt-a-55863de1-bf74-49d1-95fe-08d2fbd51970
20,https://www.spiegel.de/sport/golf/golf-tiger-woods-laesst-sich-am-ruecken-operieren-zum-fuenften-mal-a-4ce44a14-1f2e-4619-a5d6-ef1d778b8f9f
21,https://www.spiegel.de/sport/esports-wie-gaming-zum-grossen-wettbewerb-wurde-podcast-a-4c17ec7a-a7f0-4354-b28a-4c116d8458ae
22,https://www.spiegel.de/sport/eishockey/eishockey-wm-schweden-erstmals-seit-84-jahren-nicht-unter-den-besten-acht-teams-a-1d426ceb-3931-4d3a-b675-151a9f71f123
23,https://www.spiegel.de/sport/fussball/zinedine-zidane-real-madrids-trainer-coacht-nicht-mehr-als-er-muss-a-270ff563-fd95-4ae2-8c03-8154d07a6459
24,https://www.spiegel.de/sport/radsport-primoz-roglic-muss-bei-der-vuelta-wieder-um-rundfahrsieg-bangen-a-4f6f10c8-86d2-4049-bd32-f884af074de8
25,https://www.spiegel.de/sport/fussball/fifa-sepp-blatter-wird-zum-zweiten-mal-von-der-ethikkommission-gesperrt-a-1b63032b-a1a2-4f15-9d3b-fdc537d79e5b
