,haupt_text,category,prediction
5636,"Vor mehr als drei Monaten wurde der russische Oppositionelle Alexej Nawalny vergiftet und wäre fast an den Folgen gestorben – nun ist bekannt, wer die Männer sind, die ihn töten sollten. Mindestens acht Agenten des russischen Inlandsgeheimdienstes FSB waren an dem Anschlag beteiligt. Das ergaben Recherchen des SPIEGEL, der Rechercheplattform Bellingcat und weiterer Partner. Die gescheiterten Täter hatten ihn zuvor wohl über Jahre verfolgt.",Nachrichten,Kultur
3760,"Der Begriff »Bürgerkrieg« war schnell gefallen, als es darum ging, die schwere Randale zu beschreiben, die die Niederlande Anfang der Woche während dreier Nächte in Atem hielt. Die Bilder von brennenden Autos in Eindhoven und Den Haag, der Angriff auf eine Polizeiwache in Rotterdam oder auf ein Corona-Testzentrum in Urk zeigten ein Land im Ausnahmezustand. Und dennoch beschreibt »Bürgerkrieg« die Situation nicht korrekt. Denn in den Niederlanden kämpften nicht Bürger gegen Bürger, sondern eine Phalanx aus unterschiedlichen Gruppen gegen die Polizei.",Sport,Kultur
1216,"Seit ein paar Wochen gehen wir nicht mehr ""ohne"" aus dem Haus. Die Stoff-, Alltags- oder OP-Maske gehört wie Schlüssel, Portemonnaie und Handy zu uns dazu. Notfalls greifen wir zu Stofftuch oder Schal, mit dem wir behelfsmäßig Mund und Nase verdecken. Gleichzeitig scheint das Virus, das dafür verantwortlich ist, uns an anderer Stelle zu demaskieren. Denn auf einmal beobachten wir Solidarität, Hilfsbereitschaft und Teamgeist an so vielen Orten in ungewohntem Ausmaß.",Kultur,Nachrichten
5911,"»Kopfschuss!«»Du bist eine ganz kranke elende Fotze. Masken Faschistin du.«So lauten nur zwei der unzähligen Hassbotschaften, die SPIEGEL-Leserinnen und -Leser wie Berufsmusiker Tommy oder Influencerinnen und Influencer wie Louisa Dellert täglich im Netz erhalten. Wie die Anfeindungen während der Coronapandemie immmer weiter eskalierten, erzählten die beiden und viele andere Betroffene SPIEGEL-Redakteurin Rachelle Pouplier für eine Videoreportage.",Nachrichten,Kultur
5190,"1. 42»Leben, erzähl mir bloß nichts vom Leben«, nach mehr als einem Jahr Pandemie muss ich manchmal an Marvin denken, den depressiven Roboter aus »Per Anhalter durch die Galaxis«. Die schmerzhafteste Erfahrung der Coronakrise scheint für viele Leute zu sein: Wir sind wirklich auf andere angewiesen. Nicht nur auf die Disziplin anderer Kita-Eltern, Bürokollegen, Nachbarn, um die Epidemie zurückzudrängen; sondern, verrückt!, auch auf andere Staaten, um die Wirtschaft am Laufen zu halten. Viele Leute scheinen erst verstanden zu haben, wie komplex die Liefer- und Produktionsketten mittlerweile sind, als Deutschland vor gut einem Jahr nicht in der Lage war, zügig ausreichend Schutzmasken herzustellen, und Drogerien das Klopapier rationierten.Jetzt hat das Land wieder zu kämpfen mit knappen Gütern – und wieder geht es längst nicht nur um komplizierte Hightechprodukte, wie meine Kollegen Simon Book, Michael Brächer, Claus Hecking und Michael Kröger berichten. Es geht auch um Dinge, von denen ich gedacht hätte, dass es sie im Überfluss gibt: Die Baubranche klagt über zu wenig Betonstahl, die Verpackungsindustrie über fehlendes Polyethylen. Die Preise steigen, die Produktion stockt. Das liegt nicht ausschließlich, aber auch am Coronavirus, schreiben die Kollegen: »Lockdowns und staatliche Konjunkturprogramme haben die Nachfrage nach bestimmten Produkten derart abrupt hochgetrieben, dass deren Hersteller kaum noch hinterherkommen.« Und dann blieb auch noch das Containerschiff »Ever Given« im Suezkanal stecken.",Nachrichten,Kultur
4978,"Zwei Trainer aus der US-Basketball-Liga NBA haben sich vom Tod eines weiteren Schwarzen bei einem Polizeieinsatz erschüttert gezeigt und gesellschaftliche Konsequenzen gefordert. »Dir wird einfach nur schlecht davon. Wie oft muss das noch passieren?«, fragte Gregg Popovich von den San Antonio Spurs beim TV-Sender KSAT am Montag (Ortszeit). »Seine Familie trauert und seine Freunde trauern und wir machen einfach weiter, als wäre nichts passiert.«",Sport,Kultur
50,"Es war ein langer Tag für Jens Spahn. Bis spät in die Nacht mit der Kanzlerin konferiert, früh am Morgen dann schon am Telefon fürs Interview mit dem Deutschlandfunk, tagsüber, neben anderen Terminen, seine Regierungserklärung im Bundestag. Nach Verlängerung, Elfmeterschießen und Mitternacht dann bei »Maischberger« endlich wieder Rede und Antwort über den Kladderadatsch mit Corona.",Kultur,Nachrichten
5177,"Trumps militante JüngerJoe Biden will die Amerikaner wieder miteinander versöhnen. Die Politik müsse kein »tobendes Feuer« sein, das alles verschlinge, sagte er am Mittwoch in seiner Antrittsrede; man könne unterschiedlicher Meinung sein, ohne im anderen einen Feind zu sehen. Das meint der frisch vereidigte US-Präsident, wenn er – die Bibel zitierend – von Heilung spricht.",Nachrichten,Kultur
5965,"1. Die türkische Regierung im Sumpf der KorruptionGestern war an dieser Stelle von der Gendersprache die Rede, ein Thema, das für vitale Emotionen sorgt. Es gibt heute keine Verwendung für das schöne Wort Schurkin, aber für die männliche Form dieser Vokabel drängelt sich das Personal regelrecht. Beginnen wir mit Sedat Peker, einem türkischen Mafioso, verstrickt in zahllose Verbrechen: In YouTube-Videos wirft er türkischen Regierungspolitikern Drogenhandel, Erpressung und Korruption vor. Präsident Recep Tayyip Erdoğan wies die Vorwürfe zurück.",Nachrichten,Kultur
713,Norwegen: Tix – »Fallen Angel«,Kultur,Sport
