Line_ID,day,month,year,category,article,kurz_text,haupt_text
0,22,1,2021,Sport,Haaland-Doppelpack genügt nicht – BVB unterliegt in Gladbach,"
Zweimal drehte sich die Partie, letztlich zugunsten der Gladbacher. Dortmund zeigte sich phasenweise spielfreudig, Haaland traf sogar doppelt – doch abermals war die Schwäche bei Standards zu groß.
","
Borussia Mönchengladbach hat das Auftaktspiel der Rückrunde in der Fußball-Bundesliga gewonnen. Im Duell der Borussen setzten sich die Gladbacher 4:2 (2:2) gegen Dortmund durch. Die Tore erzielten Nico Elvedi (11. Minute, 32.), Erling Haaland für den BVB (22., 28.), Ramy Bensebaini (50.) und Marcus Thuram (78.).
"
1,24,2,2021,Sport,Bergamos Defensive hält in Unterzahl nur bis zur 86. Minute,"
Bereits nach den ersten 30 Minuten schien die Partie für Atalanta gegen Real Madrid verloren. Nach einer Roten Karte und einer folgenschweren Verletzung hielten die Italiener die Partie aber noch erstaunlich lange offen.
","
Fast 75 Minuten in Überzahl, für den Siegetreffer brauchte Real Madrid im Achtelfinalhinspiel der Champions League in Bergamo aber bis in die Schlussphase. Beim 1:0 (0:0) im italienischen Norden traf Ferland Mendy nach einer kurz ausgeführten Ecke zum Sieg (86.).
"
2,6,3,2021,Sport,Löst er Löws Abwehrproblem?,"
Wenn der BVB am Abend beim FC Bayern antritt, dürfte Mittelfeldspieler Emre Can erneut in der Innenverteidigung aushelfen. Der 27-Jährige macht seine Sache dort gut. Gut genug für einen Stammplatz im DFB-Team?
","
Emre Can hatte den Ball am Fuß und das Spiel vor sich, als sein Gegner auf ihn zustürmte. Gladbachs Lars Stindl versuchte, ihn zum langen Ball zu zwingen, doch Can blieb cool, er legte sich den Ball an Stindl vorbei und zog das Tempo an. Was dann geschah, machte die Szene aus dem Dortmunder Pokalspiel in Mönchengladbach so interessant.
"
3,19,12,2020,Sport,Als ob die Teenies in der Abwehr stünden,"
Dortmund hat nach der Niederlage bei Union den Anschluss an die Spitze verloren. Die Aufbruchstimmung nach dem Trainerwechsel ist schon dahin. Mit einfachsten Mitteln ließ sich das Team besiegen.
","
Der Eckstoß gehört im Fußball zu den Aktionen, die sich im Lauf all der Jahre am wenigsten verändert haben. Es gibt zwar ein paar überschaubare Varianten, aber meistens ist es doch so: Einer schlägt den Ball hoch in den Strafraum auf der Suche nach einem guten Kopfballspieler, der den Ball dann entweder direkt aufs Tor befördert oder ihn zu einem Mitspieler verlängert. Es ist eine der einfachsten, unkompliziertesten Aktionen im Fußball, zigtausend Mal gesehen, im Ablauf immer gleich.
"
4,22,5,2021,Sport,"Werder Bremen steigt ab, Köln rettet sich in die Relegation","
Im Abstiegskampf der Fußball-Bundesliga gab es ein dramatisches Finale. Werder ging im zweiten Durchgang gegen Gladbach unter und steigt erstmals seit 1980 ab. Köln schoss sich spät in die Relegation.
","
Werder Bremen ist in die 2. Fußball-Bundesliga abstiegen. Am letzten Spieltag verloren die Bremer 2:4 (0:1) gegen Borussia Mönchengladbach. Weil der 1. FC Köln im Parallelspiel 1:0 (0:0) gegen Schalke 04 gewann, sprangen die Kölner auf den Relegationsrang. Arminia Bielefeld rettete sich durch ein 2:0 (0:0) beim VfB Stuttgart.
"
5,22,5,2021,Sport,Wada erprobt neue Dopingtests bei Olympischen Spielen in Tokio,"
Tests mit getrockneten Blutflecken statt Flüssigblut sollen den Kampf gegen Doping revolutionieren. Bei den Olympischen Spielen in Tokio sollen sie nun erstmals eingesetzt werden – und schon bald darauf weltweit.
","
Die Welt-Anti-Doping-Agentur (Wada) will bei den Olympischen Spielen in Tokio (23. Juli bis 8. August) zum ersten Mal Trockenblut-Dopingtests (dried-blood-spot testing) erproben. Dies teilte Wada-Präsident Witold Banka nach einer virtuellen Sitzung des Vorstands und des Exekutivkomitees der Wada am Freitag mit.
"
6,28,5,2021,Sport,Gerland beendet Trainerkarriere,"
Hermann Gerland macht Schluss, zumindest teilweise: »Ich werde kein Co-Trainer mehr sein und auch kein Trainer mehr.« Eine Rückkehr ins Fußballbusiness an anderer Position sei allerdings möglich.
","
Hermann Gerland wird nach seinem Abschied beim FC Bayern München nicht mehr als Trainer arbeiten. »Ich werde wieder in das Fußball-Business zurückkehren. Ich werde kein Co-Trainer mehr sein und auch kein Trainer mehr. Ich lasse jetzt alles auf mich zukommen«, sagte der 66-Jährige im Sport1-Podcast »Meine Bayern-Woche«.
"
7,8,2,2021,Sport,Die Macht des alten Königs,"
Mit 43 Jahren schafft NFL-Legende Tom Brady noch einmal ein Meisterstück: Aus dem früheren Verliererteam Tampa formte der Quarterback einen Super-Bowl-Champion.
","
Als Tom Brady nach dem Super-Bowl-Sieg gegen Kansas City die Vince-Lombardi-Trophäe in die Höhe streckte und um ihn herum Konfetti durch die Abendluft rieselte, wirkte es eigentlich wie immer. Dass der Quarterback auf einem eiligst nach Spielschluss aufgebauten Podium steht, strahlt und davon spricht, wie stolz er doch auf alle sei, kennt man ja schon.
"
8,24,11,2020,Sport,Und dann war Blut im Urin,"
Im Prozess gegen den Dopingarzt Mark Schmidt sagte heute eine Mountainbikerin aus. Christina Kollmann-Forstner wollte mit seiner Hilfe in der Weltspitze mitfahren, fühlte sich »gut bei ihm aufgehoben« – bis die Nebenwirkungen einsetzten.
","
Christina Kollmann-Forstner muss etwas fester drehen, um die weiße Dose mit dem roten Deckel aufzubekommen. Die zierliche Frau müht sich, kichert etwas beschämt, rückt ihre Brille zurecht. Sie weiß genau, was sie am Dienstagmorgen im Gerichtssaal in der Münchner Justizvollzugsanstalt Stadelheim in den Händen hält. 
"
9,23,1,2021,Sport,"Hertha-Krise ist, wenn nicht mal der Elfmeter reingeht","
Ein Elfmetertor kassiert, selbst einen Elfmeter verschossen: Hertha BSC verliert auch gegen Werder Bremen. Mit nur einem Tor und nur einem Punkt aus vier Spielen rutscht Berlin tiefer in den Abstiegskampf.
","
Werder Bremen hat sich von den Abstiegsplätzen distanziert und die Krise von Hertha BSC verschärft. Bremen gewann am 18. Bundesliga-Spieltag 4:1 (2:1) in Berlin. Davie Selke (10. Minute, Foulelfmeter) und Ömer Toprak (29.) brachten Werder in Führung. Jhon Córdoba (45.+2) gelang der Anschluss, doch Leonardo Bittencourt (57.) und Joshua Sargent (77.) erzielten den Endstand.
"
