,haupt_text,category,prediction
11529,"Die Piloten haben insgesamt 3 Tage gestreikt. Von Mittwoch, 2. April bis Freitag 4. April. In diesen Tagen konnten die meisten Flugzeuge von der Lufthansa und von der Tochterfirma Germanwings nicht fliegen. Insgesamt mussten 3.800 Flüge ausfallen. Fast 500.000 Flug-Gäste konnten nicht fliegen. So einen großen Streik hat es bei der Lufthansa noch nie gegeben. Manche Flug-Gäste sind auf das Auto, Bus oder Bahn umgestiegen. Den Streik hat eine Piloten-Gewerkschaft organisiert. Die Piloten-Gewerkschaft heißt Cockpit. Die Gewerkschaft will, dass die Piloten mehr Geld bekommen. Und sie will, dass die Piloten gute Regeln für die Rente behalten. Viele Menschen kritisieren die Piloten von der Lufthansa. Sie finden nicht gut, dass die Piloten streiken. Sie sagen: Die Piloten von der Lufthansa verdienen sehr gut. Sie müssen nicht noch mehr Geld verdienen.",Nachrichten,Kultur
11583,"Die Rede von Bundes-Präsident Gauck wurde am Mittwoch, 25. Dezember, im Fernsehen gezeigt. In der Rede sagte Gauck: Es gibt viele Gründe, warum Menschen ihre Heimat verlassen. Zum Beispiel Krieg und Hunger. Er sagte auch: Es ist zwar richtig, dass Deutschland nicht jeden von diesen Menschen aufnehmen kann. Aber wir müssen uns fragen: Tun wir wirklich schon alles für diese Menschen, was wir tun könnten? Gauck bedankte sich in seiner Rede auch bei Menschen, die freiwillig anderen Menschen helfen. Zum Beispiel erinnerte er daran, dass viele Menschen freiwillig bei der Flut-Katastrophe im Sommer geholfen haben. Gauck sagte: Diese Menschen sind ein großes Geschenk für Deutschland.",Nachrichten,Kultur
10732,Barcelona ist eine große Stadt in dem Land Spanien. Dort ist ein Liefer-Wagen in eine Menschen-Menge gefahren. Mindestens 13 Menschen sind tot. Mindestens 100 Menschen sind verletzt. Barcelona ist beliebt bei Urlaubern aus aller Welt. Deshalb sind Menschen aus vielen Ländern unter den Opfern. Die Polizei hat 3 Männer festgenommen. Sie sollen zu den Tätern gehören. Nach dem Anschlag hat die IS-Terror-Miliz gesagt: Die Täter waren unsere Leute. In der Nähe von Barcelona am Meer ist der Bade-Ort Cambrils. Auch in Cambrils sind 5 Männer mit einem Wagen in eine Menschen-Menge gefahren. Es gab 7 Verletzte. Die Polizei hat die 5 Männer erschossen.,Nachrichten,Kultur
7258,"Bundes-Präsident Frank-Walter Steinmeier hat eine Rede gehalten. Er hat gesagt: Viele Menschen in Deutschland sind müde von der Corona-Pandemie. Die Menschen haben genug von dem Streit, welche Regeln gelten sollen. Steinmeier sagte auch: Wir müssen auch an die Menschen erinnern, die im vergangenen Jahr nicht an dem Corona-Virus gestorben sind. Viele Menschen sind alleine in einem Krankenhaus oder Pflege-Heim an einer anderen Krankheit gestorben. Die Familie oder Freunde konnten sich nicht mehr verabschieden. Bei der Gedenk-Feier waren auch Bundes-Kanzlerin Angela Merkel und Bundestags-Präsident Wolfgang Schäuble. Außerdem haben Angehörige von Verstorbenen gesprochen. Sie haben erzählt, wie schlimm es gewesen ist, dass sie sich von ihrem Ehemann, dem Vater, der Mutter oder der Tochter nicht verabschieden konnten. Es gab auch Gedenk-Feiern in mehreren anderen deutschen Städten.",Kultur,Nachrichten
7875,Die neue Moschee soll liberal sein. Das heißt: Die Regeln sind nicht so streng wie in anderen Moscheen. Zum Beispiel beten Männer und Frauen in einem Raum. Die Frauen müssen in der Moschee kein Kopf-Tuch tragen. Außerdem dürfen Frauen das wichtige Freitags-Gebet leiten. Die Frauen-Rechtlerin Seyran Ates hat die Moschee gegründet. Sie sagt: In den anderen Moscheen habe ich mich benachteiligt gefühlt. Es gibt von anderen Muslimen viel Kritik. Das Amt für Religion in der Türkei sagt: Die Moschee bricht die Regeln vom Islam.,Kultur,Nachrichten
8483,"Die Polizei hat 6 Personen festgenommen. Sie sollen Kunst-Fälscher sein. Sie haben viele Jahre lang Bilder von berühmten Malern nachgemalt. Zum Beispiel von Wassily Kandindsky. Die Kunst-Fälscher haben gelogen und gesagt, die Bilder haben die berühmten Maler selbst gemalt. Mehr als 400 Bilder sollen sie gefälscht haben. Dann haben sie die Bilder für sehr viele Millionen Euro verkauft. Das ist Betrug. Die Bilder wurden in Deutschland und in anderen Ländern verkauft. Die Polizei hat lange nach den Kunst-Fälschern gesucht. Rund 100 Polizisten haben zum Beispiel mehrere Wohnungen in den Städten Wiesbaden, Mainz, Stuttgart, München, Hamburg und Köln durchsucht. Die Polizei hat sich gefreut, dass sie die Kunst-Fälscher erwischt hat. Die Polizei sagt: „Das war ein großer Erfolg.“",Kultur,Nachrichten
7795,"Die Parteien haben lange über eine Regierung verhandelt. Dann hat die FDP gesagt: Wir machen nicht mit. Deshalb hat es keine Jamaika-Koalition gegeben. Und deshalb heißt das Wort des Jahres Jamaika-Aus. Der Name Jamaika-Koalition kommt daher: Die Farben von den Parteien sind die selben wie die auf der Landes-Flagge von dem Land Jamaika. Das Wort des Jahres wird von der Gesellschaft für deutsche Sprache bestimmt. Das ist eine Forschungs-Stelle. Sie sagt: Das Wort des Jahres soll zeigen, was die Menschen in dem Jahr besonders beschäftigt hat.",Kultur,Nachrichten
9918,"Härtere Strafen soll es dann geben, wenn jemand Bilder und Filme besitzt, die sexualisierte Gewalt gegen Kinder zeigen. Aber auch, wenn jemand diese Bilder und Filme verbreitet - zum Beispiel im Internet. Dann kann die Person zwischen 1 und 15 Jahren ins Gefängnis kommen. Bisher waren es zwischen 6 Monaten und 10 Jahren Gefängnis. Außerdem sollen Mitarbeiter in den Behörden besser ausgebildet werden und Ermittler mehr Möglichkeiten bekommen, um Täter zu verfolgen. In dem Gesetz heißt es nicht mehr ""sexueller Missbrauch von Kindern"". Es heißt ""sexualisierte Gewalt gegen Kinder"". Damit sollen die Verbrechen klar benannt werden. Hintergrund ist, dass in Deutschland immer neue Fälle von organisierter sexueller Gewalt gegen Kinder bekannt geworden sind. Zum Beispiel in Münster und Bergisch Gladbach.",Nachrichten,Kultur
9888,"Joshua Wong ist 24 Jahre alt. In dem Gerichts-Prozess ging es um Proteste im Juni 2019. Das Gericht sagt: Joshua Wong hat eine Demonstration organisiert, die nicht erlaubt war. Die Demonstration war vor der Polizei-Zentrale von Hongkong. Joshua Wong sagt: Ja, das stimmt. Ich habe diese Demonstration organisiert. Das Gericht hat auch zwei andere Aktivisten verurteilt. Sie heißen Agnes Chow und Ivan Lam. Auch sie haben zugegeben, dass sie bei den Protesten dabei waren. Alle drei jungen Leute kennen sich schon seit Jahren. In Hongkong gibt es seit langer Zeit Demonstrationen. Eigentlich hat die Stadt besondere Rechte. Das heißt: Es müsste mehr Freiheit geben als im Rest von China. Doch die Regierung von China will diese Freiheit einschränken. Seit ein paar Monaten gibt es zum Beispiel ein neues Gesetz. Wer China kritisiert oder wer für ein unabhängiges Hongkong ist, kann hart bestraft werden. Auch Joshua Wong hat dieses Gesetz kritisiert.",Nachrichten,Kultur
8114,"Die Studie hat die OECD gemacht. Das ist eine internationale Organisation. Sie hat herausgefunden: Nach der Schule sind in Deutschland weniger junge Menschen arbeitslos als in anderen reichen Ländern. Die OECD glaubt: Das liegt auch an der Art von der Ausbildung. Denn in Deutschland lernen viele junge Menschen ihren Beruf gleichzeitig in einem Betrieb und in der Berufs-Schule. Die OECD findet es auch gut, dass viele kleine Kinder in den Kinder-Garten gehen. Es sind mehr Kinder als früher und mehr Kinder als in vielen anderen Ländern. Die OECD hat aber auch etwas kritisiert: Viele Studenten hören nach kurzer Zeit wieder mit dem Studium auf. In anderen reichen Ländern schaffen mehr Studenten ihren Abschluss. Hier soll Deutschland noch besser werden.",Kultur,Nachrichten
