Line_ID,day,month,year,category,article,kurz_text,haupt_text
0,16,9,2020,Kultur,Gerhard Richter erklärt Kirchenfenster zu seinem finalen großen Werk,"
Im Kloster Tholey werden diese Woche neue Fenster enthüllt, entworfen vom wichtigsten lebenden Gegenwartskünstler Deutschlands: Gerhard Richter. Der 88-Jährige sieht sein Hauptwerk damit als abgeschlossen.
","
Seine abstrakten Bilder werden in den wichtigsten Museen weltweit ausgestellt und erzielen auf internationalen Kunstauktionen Rekordpreise. Jetzt verabschiedet sich Gerhard Richter mit drei Fenstern in einer Abtei von der hohen Welt der Gegenwartskunst.
"
1,4,7,2020,Kultur,Das sind unsere Buchempfehlungen für die Ferien,"
Alberne Eltern, fliegende Brötchen, Trolle und Bots: Das sind Themen in den aktuellen Kinder- und Jugendbüchern, die wir für die großen Ferien empfehlen. Eins handelt sogar von Geopolitik!
","
Egal wie heiß es ist, auf Bücher ist Verlass. Jedes Kind kann sie ohne Anleitung benutzen. Sie überhitzen nicht und funktionieren, solange wir ihre Seiten umblättern können. Egal, wo man diesen Sommer landet – ein Eckchen fürs Lesen oder Vorlesen wird sich finden. Hier ein paar frisch erschienene Geschichten dafür.
"
2,9,6,2020,Kultur,Grauenhafte Leerstelle,"
War der Autor des Welterfolgs ""Alice im Wunderland"" pädophil? Um diese Frage hat der Argentinier Guillermo Martínez einen Krimi gestrickt. Das ist verstörend und spannend zugleich.
","
Unstrittig ist, dass ""Alice im Wunderland"" nicht nur eines der bekanntesten Kinderbücher ist, sondern auch eines der einflussreichsten Werke der Literaturgeschichte. Um seinen Autor Lewis Carroll hingegen, einen Mathematiklehrer und lebenslangen Junggesellen, der sich am liebsten mit Kindern umgab, sehr jungen Mädchen vor allem, entspinnt sich seit langem ein Disput: War seine Zuneigung nur harmlose Schwärmerei oder hatte er pädophile Neigungen? In Carrolls Tagebüchern fehlt unter anderem die Seite, die erklären könnte, warum die Mutter von Alice Liddell Carroll den Umgang mit ihrer damals elfjährigen Tochter, für die Carroll ""Alice in Wunderland"" 1862 erdacht hatte, verbot.
"
3,10,12,2020,Kultur,HBO Max erteilt Deutschland für 2021 eine Absage,"
WarnerMedia kommt mit seiner Streamingplattform zunächst nicht nach Deutschland. Serien und Filme des Konzerns werden hierzulande weiterhin nur bei Sky und im Kino zu sehen sein – auch »Wonder Woman 1984«.
","
Deutsche Film- und Serienfans werden auch künftig HBO-Inhalte und Blockbuster des Studios Warner Bros. nur über den Pay-TV-Sender Sky sehen können. Sprecherinnen beider Konzerne bestätigten gegenüber dem SPIEGEL, ein Auswertungsvertrag zwischen WarnerMedia und Sky habe weiterhin Bestand. Der Warner-eigene Streamingdienst HBO Max werde entgegen anderslautender Medienberichte 2021 nicht in Deutschland starten.
"
4,9,7,2020,Kultur,Javicia Leslie ist die neue Batwoman,"
Vor zwei Monaten stieg Ruby Rose überraschend aus der Serie ""Batwoman"" aus. Nun wurde ihre Nachfolgerin gefunden: Javicia Leslie soll die erste schwarze bisexuelle Batwoman spielen.
","
Sie wurde unter anderem als erste homosexuelle Hauptdarstellerin einer Superhelden-Serie gefeiert - dann verließ Ruby Rose die Serie ""Batwoman"" nach nur einer Staffel. Nun steht ihre Nachfolgerin fest: Javicia Leslie. ""Ich bin sehr stolz darauf, die erste schwarze Schauspielerin zu sein, die im Fernsehen die legendäre Rolle der Batwoman spielt, und als bisexuelle Frau fühle ich mich geehrt, an dieser bahnbrechenden Show teilzunehmen, die für die LGBTQ-Community so ein Vorreiter war"", sagte Leslie in einer Erklärung des Senders CW.
"
5,28,5,2021,Kultur,"


","
Verwitterte Gesichter, frischer Wind: Der MDR eröffnet in Halle erneut ein »Polizeiruf«-Revier mit Peter Kurth – und feiert so das 50-jährige Bestehen der unverwüstlichen Krimireihe.
","
Was vom Leben übrig bleibt, wenn die Polizei sich in der Wohnung eines Mordopfers umschaut? »Pornoheft im Bad«, spricht der Kommissar in sein Diktafon. Dann blättert er ein wenig in dem Heft und fügt im Kennertonfall hinzu: »Na ja, eher harmlos.« Schließlich geht er ins Schlafzimmer, setzt sich aufs Bett und wippt darauf herum, bis die Stahlfedern quietschen. Wieder Kennertonfall: »Der schlief hier allein. Nacht für Nacht.«
"
6,11,2,2021,Kultur,Vermüllte Romantik,"
Ich bin keine Beziehungshasserin. Dennoch: Ich verachte den Valentinstag, dieses Jahr sogar ganz besonders. Aus drei Gründen.
","
Grund 1: Man verkauft mir irgendwelchen Müll als Liebesbeweise, gleichzeitig behandeln wir andere Menschen wie Müll.Der Valentinstag ist ein Staubsaugervertreter, der Sie freundlich lächelnd daran erinnert, dass auch Sie das Recht haben, Romantik zu kaufen.
"
7,12,6,2020,Kultur,"BBC entfernt Episode von ""Fawlty Towers""","
Weil eine Folge der britischen Comedyserie ""Fawlty Towers"" rassistische Bemerkungen enthält, hat der BBC-Anbieter UKTV die Episode aus seinem Streamingprogramm genommen.
","
Die britische BBC überprüft weiter ihre Inhalte auf rassistische Tendenzen und hat infolgedessen eine Episode des Comedy-Klassikers ""Fawlty Towers"" aus dem Streamingangebot genommen. ""The Germans"" enthalte rassistische Bemerkungen, so die Begründung des BBC-eigenen Anbieters UKTV.
"
8,21,5,2021,Kultur,Alles muss raus,"
Bei Prinz Harry und Oprah Winfrey öffnen Menschen ihre inneren Pforten weit und erzählen von Traumata, Depressionen, Ängsten. Voyeuristisch ist die Dokuserie dabei nie – und sie hat eine starke zentrale Botschaft.
","
Diese Doku kommt genau zur rechten Zeit. Denn Prinz Harry und Meghan Markle beginnen, einigen ziemlich auf die Nerven zu gehen. Das Paar schlachte seine Geschichte in Podcasts und TV-Interviews für den schnellen Profit aus, lautet ein Vorwurf. Wer Privilegien und Reichtum genieße, müsse eben auch mit den Kollateralschäden zurechtkommen, denkt so manch anderer. Und wieder andere rollen schon bei dem Stichwort »Mental Health« (darum soll es hier gehen) mit den Augen, als spräche ein Teenager in Berlin-Mitte gerade über seine Laktoseintoleranz. Dass wir empathischer werden müssen und weniger zynisch, mit uns selbst, aber auch mit den Royals, zeigt schon eine Episode der Dokuserie »The Me You Can't See«, die nun bei Apple TV+ zu sehen ist.
"
9,5,5,2020,Kultur,Stranglers-Keyboarder Dave Greenfield ist tot,"
Eigentlich war er Keyboarder, seine berühmteste Melodie spielte er aber auf dem Cembalo: ""Golden Brown"". Dave Greenfield, Mitglied der Punkband The Stranglers, ist an einer Infektion mit Covid-19 gestorben.
","
Es hätte damals auch alles anders kommen können. Die Band hatte die Melodie des Keyboarders erst abgetan, dann überlegten die Mitglieder es sich doch noch einmal und machten den Song ""Golden Brown"" daraus, der weltberühmt wurde. Der Keyboarder hieß Dave Greenfield. Er starb, das teilte die Band The Stranglers auf ihrer Homepage mit, am 3. Mai.
"
